DateTime,Magnitude,Latitude,Longitude
1920BC,,,
1740BC,,N 34.2705°,E 108.92512°
479BC,7.0 (approx),N 39.7°,E 23.3°
464BC,7.2 (approx),,
373BC,,,
226BC,,,
60BC,8.5,,
17AD,,37.85,27.3
"February 5, 62AD",5–6,,
89AD,6.7,,
110AD,,,
"December 13, 115AD",7.5,36.1,36.1
141 or 142AD,8,36.7,28.0
"May 18, 363AD",7 (approx),,
"July 21, 365AD",8.5+,,
382AD,7.5,,
"May 19, 526AD",7.0,,
"July 6, 551AD",7.5,33.9,35.5
"November 26, 684AD",8.4 MK (Kawasumi scale),32.8,134.3
"January 18, 749AD",7.0–7.5 (approx),,
"April 29, 801AD",5.4 Me,41.896,12.482
"November 24, 847AD",7.3,33.5,36.3
December 856AD,,37.9,22.9
"December 22, 856AD (aftershocks for about a year)",7.9 (approx),36.23,54.14
"July 13, 869AD",8.6–9.0,38.5,143.8
"March 23, 893AD",,38.28,48.30
"December 28, 893AD",6 (approx),40.0,44.6
December 1033,7.3,32.5,35.5
December 1037,,32.0,119.0
"August 12, 1042",7.2 (>VIII),35.1,38.9
"March 18, 1068",≥7.0,,
"October 11, 1138",7.1,36.1,36.8
"September 30, 1139",7.7,40.3,46.2
"August 12, 1157",7.2,35.1,36.3
"February 4, 1169",6.4–7.3,37.3,15.0
"June 29, 1170",7.3–7.5[41]7.7[42],34.4,36.4
"July 5, 1201 and/or May 20, 1202",7.6,,
"May 11, 1222",7.0–7.5,34.7,32.6
1268,7 (approx),37.5,35.5
"September 27, 1290",6.8,41.5,119.3
"May 26, 1293",7.1,35.2,139.4
"August 8, 1303",~8,35,27
"September 25, 1303", 7.2–7.6,36.3,111.7
"January 1, 1341",6,,
"January 25, 1348",6.9,46.37,13.58
"August 24, 1356",8.5,,
"October 18, 1356",6.2,47.5,07.6
"May 21, 1382",5.8,,
"February 2, 1428",6.7,42.4,2.2
"December 5, 1456",7.2,41.3,14.7
"May 3, 1481",7.1,36.0,28.0
"September 20, 1498",8.6,34.0,138.1
"June 6, 1505",8.2–8.8,29.5,83.0
"September 10, 1509",7.2,40.9,28.7
"January 26, 1531",6.9,38.9,−09.0
"January 23, 1556",8.2–8.3,34.5,109.7
"November 16–17, 1570",5.5,44.817,11.633
"December 16, 1575",8.5,−39.8,−73.2
"June 10–11, 1585",9.25,Unk,Unk
"January 18, 1586",7.9,36.0,136.9
"November 24, 1604",8.5,-18.500,-70.400
"February 3, 1605",7.9,33.5,138.5
"July 13, 1605",7.5 (X),19.9,110.5
"October 25, 1622",7.0,36.5,106.3
"August 1, 1629",8.2-8.8,-4.6,129.9
"March 27, 1638",7.1,38.64,15.78
