Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
-2000,1,1,1,1,1,7.1,38.0,58.2,18.0
-500,1,1,1,1,1,6.1,55.3,49.8,10.0
-350,1,1,1,1,1,7.6,35.5,51.8,16.0
-250,1,1,1,1,1,6.7,42.7,77.5,20.0
10,1,1,1,1,1,7.1,38.0,58.3,18.0
500,1,1,1,1,1,6.7,42.7,76.5,20.0
743,1,1,1,1,1,7.2,35.3,52.2,15.0
743,1,1,1,1,1,4.9,42.1,48.2,20.0
765,1,1,1,1,1,7.5,35.2,60.4,25.0
818,5,15,1,1,1,7.5,36.8,66.2,50.0
838,1,1,1,1,1,5.3,40.4,71.8,10.0
840,7,1,1,1,1,6.5,35.2,60.4,15.0
853,1,1,1,1,1,5.8,36.2,58.8,10.0
855,1,1,1,1,1,6.1,35.6,51.5,10.0
856,12,22,1,1,1,8.1,36.1,54.2,28.0
874,1,1,1,1,1,6.0,37.2,55.2,10.0
914,4,1,1,1,1,6.1,40.0,64.0,13.0
940,8,20,1,1,1,7.1,38.0,58.3,18.0
942,6,1,1,1,1,6.7,39.5,64.0,20.0
943,8,20,1,1,1,7.6,37.8,57.6,18.0
957,1,1,1,1,1,5.5,41.5,49.0,20.0
958,2,23,1,1,1,8.0,36.0,51.0,28.0
986,11,1,1,1,1,6.1,36.2,48.1,14.0
1052,6,2,1,1,1,7.0,36.2,57.7,16.0
1101,1,1,1,1,1,6.5,36.0,59.0,10.0
1119,12,10,18,1,1,6.5,35.8,49.9,11.0
1127,1,1,1,1,1,6.8,36.3,53.6,14.0
1175,1,1,1,1,1,7.1,37.5,65.5,15.0
1177,5,1,1,1,1,7.2,35.7,50.7,20.0
1192,1,1,1,1,1,4.5,40.6,48.6,5.0
1208,1,1,1,1,1,6.2,36.0,58.8,10.0
1208,1,1,1,1,1,6.1,42.0,60.0,10.0
1209,1,1,1,1,1,7.4,36.4,58.7,15.0
1267,1,1,1,1,1,5.8,36.0,58.8,10.0
1270,10,7,1,1,1,7.1,36.2,58.8,8.0
1280,1,1,1,1,1,5.8,36.1,58.8,10.0
1301,1,1,1,1,1,6.7,36.1,53.2,13.0
1389,2,1,1,1,1,7.3,36.2,58.8,16.0
1389,1,1,1,1,1,5.8,36.0,58.8,10.0
1390,5,1,1,1,1,6.1,39.5,64.0,20.0
1405,11,23,1,1,1,7.6,36.0,58.8,18.0
