Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2021,1,1,16,36,21,3.9,35.9273,27.8658,26.1
2020,12,31,0,51,27,3.8,37.8435,26.7775,8.0
2020,12,30,18,45,12,3.9,36.4918,28.7092,5.0
2020,12,30,13,40,12,4.4,37.796,26.4165,14.4
2020,12,27,20,8,36,3.9,38.4172,39.1482,5.0
2020,12,27,7,13,55,4.2,36.475,28.7852,2.8
2020,12,27,6,37,31,5.6,38.505,39.218,2.9
2020,12,26,11,9,18,4.1,38.5305,39.2102,5.0
2020,12,26,9,31,18,3.9,38.0033,42.9642,5.0
2020,12,23,21,13,42,3.7,36.5213,28.695,13.1
2020,12,23,11,6,29,3.7,37.8888,27.6075,3.2
2020,12,22,12,45,13,3.9,35.7737,36.447,14.2
2020,12,20,4,32,52,4.5,37.8967,43.8062,5.0
2020,12,20,3,14,39,4.0,37.126,28.5738,10.8
2020,12,18,9,24,10,3.7,37.1175,31.0832,104.9
2020,12,18,1,4,4,3.6,35.7012,26.2608,5.5
2020,12,17,13,36,44,4.6,35.7032,26.2382,5.4
2020,12,15,18,48,36,3.8,35.704,26.2952,11.3
2020,12,15,2,46,58,3.9,35.691,26.2818,9.9
2020,12,14,21,58,44,4.7,38.8573,43.5082,5.0
2020,12,13,5,25,44,3.5,37.683,27.0502,6.8
2020,12,11,14,37,49,4.1,39.9973,28.2088,10.2
2020,12,11,11,1,9,3.5,35.7147,26.2635,5.6
2020,12,10,22,26,4,4.0,40.5017,34.317,5.0
2020,12,10,3,54,42,3.7,37.832,26.938,11.5
2020,12,9,0,44,9,3.7,37.8425,26.9593,12.6
2020,12,9,0,11,26,3.5,39.5463,28.2153,5.3
2020,12,8,22,43,16,3.6,37.7975,37.3405,2.4
2020,12,7,11,43,3,3.6,35.7147,26.313,10.4
2020,12,7,10,0,4,3.9,35.7098,26.2897,9.4
2020,12,6,2,50,39,3.9,38.004,26.0613,9.3
2020,12,6,1,37,4,3.7,37.1155,34.529,73.6
2020,12,5,12,44,39,5.5,35.9943,31.8,98.6
2020,12,4,9,34,14,4.1,37.8113,26.7922,4.6
2020,12,4,4,26,21,3.5,37.8667,26.8972,6.6
2020,12,4,3,44,31,3.5,39.2773,27.7873,8.2
2020,12,3,5,45,18,5.2,37.9455,41.7067,9.1
2020,12,2,4,25,50,3.5,39.3142,40.9495,5.1
2020,12,1,19,20,2,3.8,37.836,26.9603,5.4
2020,11,30,13,47,3,4.1,35.212,36.8703,18.5
2020,11,29,14,55,44,3.5,37.8477,26.9492,7.6
