Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2004,10,6,2,4,2,-0.35,32.005249,131.283295,27.392
2004,10,7,1,24,5,-0.14,32.044048,131.234756,28.163
2004,10,7,1,36,51,0.05,31.970819,131.273621,32.902
2004,10,7,1,40,38,-0.36,32.041679,131.262192,30.608
2004,10,7,1,42,23,-0.20,32.052849,131.264557,29.765
2004,10,8,6,51,24,-0.40,32.008511,131.242111,25.409
2004,10,8,7,5,20,-0.06,32.057350,131.270844,27.119
2004,10,17,16,28,51,-0.52,32.055199,131.290527,18.536
2004,10,17,23,16,9,-0.26,32.054749,131.254456,23.515
2004,10,17,23,18,11,0.01,31.984190,131.275223,37.131
2004,10,29,0,34,34,-0.19,32.040550,131.298264,29.971
2004,10,29,0,40,39,-0.64,32.083931,131.253296,24.384
2004,12,16,14,42,54,-0.05,32.014580,131.283295,31.601
2005,7,17,2,10,23,-0.55,32.063412,131.248276,29.868
2005,7,17,4,53,34,-0.63,32.067402,131.206055,30.799
2005,7,18,1,27,9,-0.68,32.066471,131.297974,15.196
2005,7,18,1,49,3,-0.50,31.982401,131.303497,34.313
2006,3,25,3,30,49,-0.41,32.046341,131.262314,27.876
2006,3,25,10,54,36,-0.17,32.057339,131.296997,21.950
2006,3,25,23,50,3,-0.35,32.022812,131.279556,33.139
2006,3,26,0,2,14,-0.10,32.044621,131.260437,30.460
2006,3,26,0,9,16,-0.20,32.045422,131.283218,33.534
2006,3,26,18,1,18,-0.54,32.043289,131.282227,27.694
2006,3,26,18,10,26,-0.33,32.025848,131.275620,31.471
2006,3,26,18,12,49,-0.17,32.051991,131.273193,29.161
2006,3,28,23,53,13,-0.09,31.978140,131.287582,34.966
2006,3,29,0,0,21,-0.39,32.052849,131.253937,29.782
2006,10,20,18,48,39,-0.06,32.063202,131.248169,35.010
2006,10,20,18,55,39,-0.57,32.020321,131.272781,31.058
2006,10,24,23,3,55,0.05,32.032188,131.285782,28.549
2006,10,24,23,11,0,-0.43,31.979561,131.288177,31.330
2006,10,24,23,18,53,-0.24,32.038601,131.287292,26.362
2006,10,25,21,57,10,-0.21,32.061371,131.269501,22.326
2006,10,25,22,12,55,-0.17,32.052711,131.289490,26.549
2006,10,25,22,17,22,-0.04,32.074680,131.251587,26.127
2007,6,28,4,30,18,-0.62,32.070099,131.287125,18.354
2007,6,29,22,2,34,-0.29,32.021641,131.243835,31.661
2007,6,29,22,3,49,-0.67,32.047829,131.239929,27.598
2008,2,17,23,46,32,-0.48,32.008492,131.273605,28.796
2008,2,18,1,40,22,-0.08,32.015701,131.268402,31.667
2008,2,18,2,53,41,-0.22,32.019810,131.269058,25.670
2008,2,18,22,4,25,-0.39,32.039379,131.286407,29.648
2008,2,18,22,8,59,-0.28,32.044209,131.270691,26.946
2008,2,18,22,55,48,-0.29,32.042660,131.250397,27.658
2008,2,19,23,11,24,0.00,32.072811,131.252502,26.811
2008,10,21,0,9,13,-0.46,32.082958,131.253174,22.977
2008,10,21,0,32,57,-0.78,32.032570,131.292267,25.625
2008,12,4,23,20,32,-0.44,32.073872,131.232605,21.396
2008,12,5,1,6,12,-0.49,32.029060,131.280334,31.910
2008,12,5,1,27,1,-0.60,32.071770,131.231247,26.176
2008,12,5,2,57,41,-0.05,32.043468,131.276520,28.767
2008,12,5,3,3,28,-0.61,31.962339,131.245804,27.413
