Timestamp,Magnitude,Latitude,Longitude,Depth
1045-04-05 01:01:01,7.4,40.0,38.0,
1050-08-05 01:01:01,7.4,41.0,33.5,
1052-01-01 01:01:01,6.8,31.5,50.0,
1052-06-02 01:01:01,7.0,36.2,57.7,
1058-11-01 01:01:01,7.2,35.8,43.6,25.0
1063-07-30 01:01:01,6.9,34.4,36.2,32.0
1063-09-23 01:01:01,7.14,40.867,27.411,
1068-03-18 08:30:01,7.0,28.5,36.7,
1096-12-11 08:01:01,8.3,34.0,137.5,
1099-02-16 06:01:01,8.2,33.0,135.5,
1107-02-12 03:01:01,7.1,45.7,26.6,150.0
1114-11-01 01:01:01,7.4,37.3,38.5,40.0
1114-11-29 01:01:01,6.9,37.5,37.2,
1117-07-01 01:01:01,7.0,36.0,106.0,
1125-09-06 01:01:01,7.0,36.1,103.7,
1126-08-08 01:01:01,7.1,45.7,26.6,150.0
1139-09-30 01:01:01,7.7,40.3,46.2,23.0
1157-08-12 01:01:01,7.4,35.4,36.6,15.0
1170-06-29 01:01:01,7.7,34.8,36.4,35.0
1177-05-01 01:01:01,7.2,35.7,50.7,
1185-08-06 12:01:01,7.4,35.0,135.9,
1196-02-13 07:01:01,7.5,45.7,26.6,150.0
1202-05-20 01:01:01,7.6,34.1,36.1,30.0
1209-01-01 12:01:01,7.5,36.4,58.7,
1212-05-01 01:01:01,7.0,30.0,35.0,
1216-03-24 01:01:01,7.0,28.4,103.8,
1230-05-10 07:01:01,7.3,45.7,26.6,150.0
1246-01-01 01:01:01,7.0,35.4,23.3,
1254-10-11 01:01:01,7.4,40.0,39.0,
1257-10-02 20:01:01,7.3,35.3,139.6,
1260-01-01 01:01:01,7.2,43.2,51.6,20.0
1268-01-01 01:01:01,7.2,39.8,40.0,25.0
1270-10-07 12:01:01,7.0,36.2,58.8,
1275-10-03 01:01:01,6.8,38.883,42.916,
1290-10-04 01:01:01,6.75,41.6,119.3,
1293-05-20 06:01:01,7.5,35.2,139.5,
1303-08-08 03:30:01,8.26,35.717,25.797,
1303-09-25 01:01:01,8.0,36.3,111.7,
1309-02-22 05:30:01,7.0,36.0,-11.0,
1327-01-01 01:01:01,7.3,45.7,26.6,150.0
1331-08-07 01:01:01,7.0,33.7,135.2,
1336-10-21 06:01:01,7.5,34.7,59.7,
1344-01-02 01:01:01,6.8,36.7,37.4,30.0
1352-04-26 01:01:01,7.0,35.6,105.3,
1354-03-01 17:01:01,7.06,40.525,26.846,
1356-08-24 01:01:01,7.5,36.0,-10.7,
1360-11-14 01:01:01,7.8,33.4,136.2,
1361-07-26 04:01:01,8.4,33.0,135.0,
1363-01-01 01:01:01,6.9,38.7,41.6,15.0
1365-01-03 18:01:01,7.0,36.77,3.05,
1389-02-01 01:01:01,7.5,36.2,58.8,
1403-01-01 01:01:01,7.0,33.7,136.5,
1404-02-20 01:01:01,7.4,35.7,36.2,30.0
1405-11-23 01:01:01,7.5,36.2,58.8,
1408-01-12 01:01:01,7.5,33.0,136.0,
1408-12-29 01:01:01,7.4,35.8,36.1,25.0
1411-10-08 01:01:01,8.0,30.1,90.5,
1433-10-29 01:01:01,7.0,34.9,139.5,
1440-01-01 01:01:01,7.1,28.4,53.1,
1446-10-10 04:01:01,7.5,45.7,26.6,150.0
1456-12-05 01:01:01,7.17,41.302,14.711,
1457-04-01 01:01:01,7.6,39.9,40.4,25.0
1458-11-16 01:01:01,7.1,31.0,35.3,
1460-01-01 01:01:01,8.0,-41.2,174.8,
1471-01-01 01:01:01,8.0,-16.3,-71.0,25.0
1471-08-29 08:01:01,7.5,45.7,26.6,110.0
1485-08-15 01:01:01,7.2,36.7,50.5,
1493-01-10 06:01:01,6.9,33.0,59.8,
1494-07-01 10:10:01,7.5,35.5,23.3,
1498-09-11 08:01:01,8.3,34.0,138.0,
1500-01-04 01:01:01,7.0,24.9,103.1,
1501-01-29 01:01:01,7.0,34.8,110.1,
1505-06-06 05:01:01,8.1,29.5,83.0,
1505-07-06 01:01:01,7.2,34.5,69.1,
1508-05-29 01:01:01,7.12,35.02,25.72,
1509-09-10 01:01:01,7.14,41.022,28.786,
1513-01-01 01:01:01,8.7,-17.21,-72.3,30.0
1513-01-01 01:01:01,7.4,37.5,36.5,
1515-06-27 01:01:01,7.75,26.7,100.7,
1516-11-24 12:01:01,7.5,45.7,26.6,150.0
1520-03-25 17:01:01,7.4,33.0,136.0,
1526-01-01 01:01:01,7.1,13.6,-90.24,
1530-09-01 14:01:01,7.3,10.7,-64.1,
1533-01-01 01:01:01,6.5,-12.2,-77.8,30.0
1536-03-19 01:01:01,7.5,28.1,102.2,
1539-11-24 01:01:01,7.2,16.5,-86.0,
1548-09-22 01:01:01,6.4,38.0,121.0,
1550-01-01 01:01:01,7.1,38.2,46.2,22.0
1552-07-02 10:30:01,7.6,-16.6,-71.3,30.0
1555-11-15 01:01:01,8.4,-11.9,-77.6,30.0
1556-02-02 01:01:01,8.25,34.5,109.7,
1561-08-04 01:01:01,7.25,37.5,106.2,
1562-12-02 01:01:01,7.7,19.37,-70.68,
1563-05-28 01:01:01,7.0,38.8,126.1,
1564-04-20 01:01:01,7.0,19.217,-70.517,
1568-12-27 01:01:01,7.1,20.2,-103.5,
1570-02-08 05:01:01,8.0,-36.75,-73.0,
1575-03-17 06:01:01,7.25,-33.4,-70.6,
1575-12-16 18:30:01,8.25,-39.8,-73.2,
1577-11-29 01:01:01,7.2,14.0,-92.5,
1578-08-01 01:01:01,6.7,19.9,-76.0,30.0
1581-01-01 01:01:01,7.6,-12.4,-77.7,30.0
1582-01-22 16:30:01,7.5,-16.6,-71.6,30.0
1582-08-15 01:01:01,7.8,-12.2,-77.6,30.0
1584-03-17 01:01:01,8.4,-11.8,-77.8,30.0
1585-06-28 02:01:01,7.06,39.786,24.372,
1586-01-16 01:01:01,7.0,36.6,136.9,
1586-01-18 01:01:01,7.8,36.0,136.9,
1586-07-10 00:30:01,8.6,-12.109,-77.028,40.0
1588-01-04 01:01:01,7.2,29.0,36.0,
1588-08-09 01:01:01,7.0,24.0,102.8,
1590-01-01 01:01:01,7.7,-17.2,-72.9,40.0
1591-03-14 01:01:01,7.0,16.0,-92.5,0.0
1595-04-21 10:01:01,7.1,45.7,26.6,150.0
1596-09-04 19:01:01,7.0,33.3,131.6,
1596-09-05 01:01:01,7.5,34.65,135.6,
1597-10-06 01:01:01,7.0,38.5,120.0,
1600-02-19 10:01:01,7.9,-16.77,-70.9,20.0
1600-02-28 20:01:01,8.1,-16.6,-70.8,20.0
1600-09-29 01:01:01,7.0,23.5,117.2,
1604-11-24 18:30:01,8.25,-17.88,-70.94,80.0
1604-12-29 01:01:01,7.5,24.7,119.0,
1605-02-03 20:01:01,7.9,33.5,138.5,
1605-07-13 01:01:01,7.5,20.0,110.5,
1606-03-23 20:01:01,6.5,-7.0,-80.3,40.0
1606-10-25 13:01:01,6.8,-11.8,-77.8,60.0
1608-04-20 01:01:01,7.6,36.4,50.5,
1609-01-01 01:01:01,7.2,12.42,-86.55,
1609-04-01 01:01:01,7.2,36.2,29.0,
1609-07-11 01:01:01,7.25,39.2,99.0,
1609-10-20 01:01:01,7.4,-11.9,-77.4,55.0
1610-02-03 01:01:01,7.6,8.45,-71.65,
1611-08-31 01:01:01,7.4,17.825,-97.64,
1611-12-02 14:01:01,8.1,39.0,144.0,
1612-11-08 01:01:01,7.2,35.0,23.8,
1614-11-26 01:01:01,7.7,37.5,138.0,
1615-09-08 01:01:01,7.5,18.4,-69.9,30.0
1615-09-16 01:01:01,7.5,-18.5,-70.35,
1616-02-01 01:01:01,7.0,5.0,-74.0,
1616-09-09 15:01:01,7.0,38.1,142.0,
1619-02-14 16:30:01,7.85,-8.9,-79.3,50.0
1619-11-30 16:01:01,8.0,18.5,121.6,
1621-05-02 01:01:01,6.9,8.97,-79.55,
1621-12-01 01:01:01,7.2,11.7,122.1,
1622-10-25 01:01:01,7.0,36.5,106.3,
1624-05-11 01:01:01,6.7,34.26,-4.57,
1626-01-21 01:01:01,7.3,36.5,37.1,20.0
1626-06-28 01:01:01,7.0,39.4,114.2,
1627-09-01 01:01:01,7.5,18.7,121.8,
1629-08-01 01:30:01,8.8,-4.3,129.6,
1630-03-09 09:01:01,7.3,35.0,23.7,
1630-11-27 15:30:01,7.5,-12.2,-77.5,30.0
1633-03-01 05:01:01,7.0,35.2,139.2,
1637-02-01 01:01:01,7.1,45.7,26.6,130.0
1638-03-27 15:05:01,7.02,39.048,16.289,
1644-01-16 11:01:01,7.0,7.4,-72.7,
1644-05-12 12:01:01,7.0,-3.85,128.4,
1645-03-15 01:01:01,7.0,-1.73,-78.8,
1645-11-30 12:30:01,7.9,15.6,121.2,
1647-05-14 02:30:01,8.0,-33.0,-72.0,
1648-01-01 01:01:01,7.2,12.5,-86.8,
1648-02-02 01:01:01,7.0,-8.4,122.95,
1648-06-13 12:01:01,7.0,35.2,139.2,
1649-03-17 12:01:01,7.0,33.7,132.5,
1649-07-30 01:01:01,7.0,35.8,139.5,
1650-03-31 16:10:01,7.4,-13.6,-72.2,70.0
1650-03-31 19:01:01,7.2,-13.5,-71.7,30.0
1651-01-01 01:01:01,7.3,11.2,-85.2,
1652-07-13 01:01:01,7.0,25.2,100.6,
1654-01-01 01:01:01,7.0,30.8,95.6,
1654-07-21 01:01:01,8.0,34.3,105.5,
1655-11-13 19:45:01,7.7,-12.3,-77.6,30.0
1657-03-15 23:30:01,8.0,-36.83,-73.03,
1658-02-14 01:01:01,7.7,-8.2,-80.1,40.0
1659-02-17 01:01:01,7.1,40.713,27.256,
1659-12-01 01:01:01,7.5,-4.2,127.0,
1662-06-16 12:01:01,7.4,35.2,135.95,
1662-10-31 01:01:01,7.6,31.7,132.0,
1663-01-01 01:01:01,7.3,12.42,-86.55,
1663-02-05 22:30:01,6.7,47.6,-70.1,
1664-01-01 01:01:01,7.7,25.0,90.0,
1664-05-12 09:15:01,7.3,-14.1,-75.85,15.0
1666-09-22 01:01:01,6.9,37.0,43.0,35.0
1666-11-13 09:01:01,7.5,39.7,39.5,10.0
1667-01-01 01:01:01,6.7,17.8,-77.0,30.0
1668-01-14 01:01:01,7.8,41.0,48.0,40.0
1668-07-25 01:01:01,8.5,34.8,118.5,
1668-07-29 01:01:01,7.1,41.0,48.0,30.0
1668-08-17 01:01:01,7.9,40.5,36.0,
1671-10-17 01:01:01,7.5,-3.8,128.7,
1672-02-14 01:01:01,7.05,39.818,25.717,
1673-05-09 11:30:01,7.3,18.4,-70.3,30.0
1673-08-12 14:15:01,7.0,0.8,127.3,
1674-03-16 01:01:01,7.4,8.95,-70.8,
1675-02-16 23:30:01,7.9,-4.0,127.75,
1677-04-13 02:01:01,7.9,41.0,143.0,
1677-11-04 20:01:01,8.0,35.0,141.5,
1677-12-07 11:30:01,7.3,14.5,119.5,
1678-02-11 14:59:01,6.7,19.9,-76.0,30.0
1678-06-16 01:45:01,7.7,-12.3,-77.8,40.0
1678-10-02 20:01:01,7.5,39.0,142.0,
1679-09-02 01:01:01,8.0,40.0,117.0,
1681-01-10 01:01:01,7.0,35.4,23.5,
1681-03-10 01:01:01,7.25,-18.5,-70.35,
1681-08-18 01:01:01,7.1,45.7,26.6,150.0
1681-12-11 01:01:01,7.0,-2.2,99.0,
1681-12-27 04:30:01,7.1,45.7,26.6,150.0
1683-10-16 01:01:01,7.0,-4.5,130.3,
1683-10-20 05:01:01,7.0,36.9,139.9,
1683-11-22 01:01:01,7.0,38.7,112.7,
1684-01-01 01:01:01,7.0,18.4,-70.3,30.0
1686-01-04 11:01:01,7.2,34.0,132.6,
1686-10-03 07:01:01,7.0,34.45,137.4,
1687-07-12 07:01:01,7.25,-32.75,-70.73,
1687-10-20 10:30:01,8.6,-13.231,-76.507,30.0
1688-10-19 01:01:01,7.5,16.95,122.2,
1690-04-05 01:01:01,7.5,17.08,-62.51,
1690-11-20 19:30:01,7.2,-12.55,-77.0,40.0
1691-01-01 01:01:01,7.5,18.4,-70.3,30.0
1692-06-17 16:40:01,7.5,17.966,-76.783,
1692-09-13 11:01:01,7.0,-25.4,-64.8,30.0
1693-01-11 13:30:01,7.42,37.14,15.013,
1694-06-19 07:01:01,7.0,40.2,140.1,
1695-05-12 01:01:01,7.0,36.8,57.0,
1695-05-18 01:01:01,7.75,36.0,111.5,
1696-04-14 01:01:01,7.0,39.1,43.9,
1696-07-14 09:01:01,6.7,-12.8,-77.7,20.0
1697-02-07 01:01:01,7.5,16.5,-99.0,
1697-09-29 13:30:01,7.3,-12.3,-77.4,30.0
1698-06-20 01:01:01,7.3,-1.4,-78.8,
1698-10-02 08:30:01,6.0,32.0,30.0,
1699-01-04 18:30:01,7.5,-7.0,105.5,
1699-07-14 09:01:01,7.8,-11.8,-77.5,40.0
1700-01-27 05:01:01,9.0,48.5,-125.0,
1700-04-15 01:01:01,7.0,33.9,129.6,
1701-06-12 01:01:01,7.1,45.7,26.6,150.0
1701-11-09 01:01:01,6.6,18.42,-72.65,
1703-12-31 01:01:01,8.2,35.03,139.66,
1704-05-27 13:01:01,7.0,40.4,140.0,
1705-10-01 01:01:01,7.0,-4.0,127.9,
1705-11-24 01:01:01,6.9,33.7,36.6,35.0
1707-10-28 14:01:01,8.6,33.0,136.0,
1707-10-29 06:01:01,7.0,35.1,138.6,
1709-10-14 01:01:01,7.5,37.4,105.3,
1710-03-06 01:01:01,7.0,-4.53,129.9,
1711-01-01 01:01:01,7.0,13.667,-89.417,
1712-12-14 01:01:01,7.1,13.583,-88.833,
1713-09-04 01:01:01,7.0,32.0,103.7,
1715-08-23 01:01:01,8.0,-17.3,-70.8,80.0
1716-01-01 01:01:01,7.5,41.2,80.3,30.0
1716-02-03 02:01:01,7.0,36.7,3.1,
1717-01-01 01:01:01,7.0,35.9,22.9,
