X,Y,OBJECTID,ID,year,month,day,time,lat,lon,M
-121.500000000155,36.7999999988298,1,180010110000,1800,10,11,0,36.8,-121.5,5.5
-117.799999999572,32.8999999990961,2,180011222130,1800,11,22,213000,32.9,-117.8,6.3
-118.100000000129,34.1999999992107,3,180304000000,1803,4,0,0,34.2,-118.1,5.5
-117.100000000069,32.7999999992561,4,180305250000,1803,5,25,0,32.8,-117.1,5.5
-119.700000000406,34.3999999989578,5,180603250800,1806,3,25,80000,34.4,-119.7,5.5
-122.600000000401,37.7999999993478,6,180806210000,1808,6,21,0,37.8,-122.6,5.5
-117.649999999743,34.3699999988846,7,181212081500,1812,12,8,150000,34.37,-117.65,7.5
-119.899999999879,34.1999999992107,8,181212211900,1812,12,21,190000,34.2,-119.9,7.1
-119.850000000235,34.5499999989201,9,182101010000,1821,1,1,0,34.55,-119.85,6.3
-122.299999999844,37.0999999988101,10,182509000000,1825,9,0,0,37.1,-122.3,5.5
-122.500000000215,37.699999998984,11,182704030000,1827,4,3,0,37.7,-122.5,5.5
-119.000000000004,33.999999998999,12,182709240400,1827,9,24,40000,34,-119,6
-120.649999999924,35.349999999235,13,183000000000,1830,0,0,0,35.35,-120.65,6
-121.500000000155,36.899999998814,14,183606101530,1836,6,10,153000,36.9,-121.5,6.4
-122.150000000015,37.2999999991006,15,183806010000,1838,6,1,0,37.3,-122.15,7.4
-121.500000000155,36.849999998737,16,184001180000,1840,1,18,0,36.85,-121.5,6.5
-121.500000000155,36.7999999988298,17,184107032207,1841,7,3,220700,36.8,-121.5,6.2
-121.449999999613,36.7999999988298,18,184107290815,1841,7,29,81500,36.8,-121.45,6
-122.40000000003,37.7999999993478,19,185105151610,1851,5,15,161000,37.8,-122.4,5
-114.999999999762,32.4999999990269,20,185211292000,1852,11,29,200000,32.5,-115,6.5
-121.100000000311,35.699999998921,21,185302012100,1853,2,1,0,35.7,-121.1,5.5
-121.000000000125,36.3999999987572,22,185309020000,1853,9,2,0,36.4,-121,6.4
-124.199999999779,40.7999999988403,23,185310230000,1853,10,23,110000,40.8,-124.2,5.5
-119.700000000406,34.4499999989468,24,185405311250,1854,5,31,125000,34.45,-119.7,6
-120.699999999568,36.149999998795,25,185501140230,1855,1,14,23000,36.15,-120.7,5.5
-120.299999999723,39.4999999992735,26,185501250600,1855,1,25,60000,39.5,-120.3,6
-118.100000000129,34.0999999994334,27,185507110415,1855,7,11,41500,34.1,-118.1,6
-122.500000000215,38.0999999991376,28,185508271100,1855,8,27,110000,38.1,-122.5,5.5
-122.500000000215,37.2999999991006,29,185601020185,1856,1,2,181500,37.3,-122.5,5.7
-122.299999999844,37.499999998741,30,185602151325,1856,2,15,132500,37.5,-122.3,5.9
-116.700000000224,33.0999999993591,31,185609210730,1856,9,21,73000,33.1,-116.7,5.5
-120.649999999924,36.0999999990242,32,185701090000,1857,1,9,0,36.1,-120.65,6.1
-120.850000000295,36.2899999988401,33,185701090000,1857,1,9,0,36.29,-120.85,5.6
-119.799999999693,35.2999999990002,34,185701091624,1857,1,9,162400,35.3,-119.8,7.9
-118.710000000274,34.7599999992789,35,185701100640,1857,1,10,64000,34.76,-118.71,5.6
-118.039999999659,34.519999999384,36,185701160000,1857,1,16,0,34.52,-118.04,6.3
-120.000000000064,39.2999999988261,37,185709030305,1857,9,3,30500,39.3,-120,6.3
-121.799999999814,37.499999998741,38,185811260835,1858,11,26,83500,37.5,-121.8,6.2
-117.499999999913,33.999999998999,39,185812161000,1858,12,16,100000,34,-117.5,6
-119.500000000034,39.4999999992735,40,186003151900,1860,3,15,190000,39.5,-119.5,6.5
-120.949999999583,36.3499999992868,41,186004170330,1860,4,17,33000,36.35,-120.95,6
-124.199999999779,40.7999999988403,42,186011130000,1860,11,13,0,40.8,-124.2,5.5
-121.949999999643,37.749999998967,43,186107040011,1861,7,4,1100,37.75,-121.95,5.8
-117.200000000255,32.699999999184,44,186205272000,1862,5,27,200000,32.7,-117.2,6.2
-117.100000000069,32.3999999993537,45,186306250000,1863,6,25,0,32.4,-117.1,5.8
-121.600000000341,37.1999999990843,46,186402261347,1864,2,26,134700,37.2,-121.6,6.1
-121.854999999871,37.5529999988189,47,186403051649,1864,3,5,164900,37.553,-121.855,6
-121.9,37.599999999226,48,186405210201,1864,5,21,20100,37.6,-121.9,5.8
-121.799999999814,37.0999999988101,49,186505241121,1865,5,24,112100,37.1,-121.8,5.9
-124.199999999779,40.7999999988403,50,186510011715,1865,10,1,171500,40.8,-124.2,5.5
-121.9,37.1999999990843,51,186510082046,1865,10,8,204600,37.2,-121.9,6.6
-121.699999999628,36.9999999989197,52,186603262012,1866,3,26,201200,37,-121.7,5.8
-121.500000000155,37.699999998984,53,186607150630,1866,7,15,63000,37.7,-121.5,6
-119.700000000406,39.2999999988261,54,186805300510,1868,5,30,51000,39.3,-119.7,6
-119.700000000406,38.5999999988837,55,186809171700,1868,9,17,165500,38.6,-119.7,5.6
-122.100000000371,37.699999998984,56,186810211553,1868,10,21,155300,37.7,-122.1,7
-123.100000000431,39.0999999991802,57,186910080930,1869,10,8,93000,39.1,-123.1,5.6
-119.700000000406,39.3999999991244,58,186912270155,1869,12,27,15500,39.4,-119.7,6.4
-119.799999999693,39.0999999991802,59,186912271000,1869,12,27,100000,39.1,-119.8,6.2
-122.000000000185,37.0999999988101,60,187002172012,1870,2,17,201200,37.1,-122,5.9
-122.299999999844,37.8999999988336,61,187004021948,1870,4,2,194800,37.9,-122.3,5.8
-124.199999999779,40.3999999992803,62,187103022105,1871,3,2,210500,40.4,-124.2,6.3
-117.999999999944,36.3999999987572,63,187107052106,1871,7,5,210600,36.4,-118,5.5
-118.100000000129,36.6999999988315,64,187203261030,1872,3,26,103000,36.7,-118.1,7.4
-118.200000000315,36.899999998814,65,187203261406,1872,3,26,140600,36.9,-118.2,6.8
-118.200000000315,36.9999999989197,66,187204031215,1872,4,3,121500,37,-118.2,6.3
-118.499999999974,37.499999998741,67,187204111900,1872,4,11,190000,37.5,-118.5,6.8
-114.999999999762,32.9999999992926,68,187205030100,1872,5,3,10000,33,-115,5.8
-124.000000000306,41.9999999990001,69,187311230500,1873,11,23,50000,42,-124,6.9
-120.500000000095,40.1999999988907,70,187501241200,1875,1,24,120000,40.2,-120.5,6.2
-124.000000000306,40.6999999993993,71,187509301230,1875,9,30,123000,40.7,-124,5.9
-115.499999999793,32.4999999990269,72,187511152230,1875,11,15,223000,32.5,-115.5,6.2
-120.299999999723,35.699999998921,73,187705301030,1877,5,30,103000,35.7,-120.3,5.5
-120.000000000064,38.9999999987426,74,187707100710,1877,7,10,71000,39,-120,5.5
-125.19999999984,40.3999999992803,75,187805090425,1878,5,9,42500,40.4,-125.2,7
-118.200000000315,34.6999999987529,76,188004120430,1880,4,12,43000,34.7,-118.2,5.9
-116.999999999883,33.999999998999,77,188011220400,1880,11,22,40000,34,-117,5.5
-116.999999999883,33.999999998999,78,188012192335,1880,12,19,233500,34,-117,5.9
-122.000000000185,39.99999999929,79,188101070225,1881,1,7,22500,40,-122,5.6
-120.60000000028,36.0999999990242,80,188102020011,1881,2,2,1100,36.1,-120.6,6
-122.549999999859,36.0499999988065,81,188102020500,1881,2,2,50000,36.05,-122.55,5.5
-121.399999999969,37.3999999990985,82,188104101000,1881,4,10,100000,37.4,-121.4,6.3
-120.549999999738,36.0499999988065,83,188105061345,1881,5,6,134500,36.05,-120.55,5.5
-121.100000000311,36.499999998918,84,188203062145,1882,3,6,214500,36.5,-121.1,5.9
-121.9,37.0999999988101,85,188206271322,1882,6,27,132200,37.1,-121.9,5.8
-121.500000000155,36.7999999988298,86,188303301545,1883,3,30,154500,36.8,-121.5,6
-119.899999999879,34.1999999992107,87,188309051230,1883,9,5,123000,34.2,-119.9,6.3
-123.599999999563,41.0999999991702,88,188401280730,1884,1,28,73000,41.1,-123.6,6.1
-122.2500000002,36.9999999989197,89,188403260040,1884,3,26,4000,37,-122.25,5.9
-120.60000000028,40.3999999992803,90,188501310545,1885,1,31,54500,40.4,-120.6,6.1
-121.199999999598,36.6999999988315,91,188503310756,1885,3,31,75600,36.7,-121.2,5.7
-121.100000000311,36.5999999989559,92,188504021525,1885,4,2,152500,36.6,-121.1,5.9
-119.500000000034,34.999999998791,93,188504071030,1885,4,7,103000,35,-119.5,5.5
-120.649999999924,36.5699999992191,94,188504120405,1885,4,12,40500,36.57,-120.65,6.5
-116.899999999697,33.2999999992084,95,188509131234,1885,9,13,123400,33.3,-116.9,5.8
-119.799999999693,39.1999999991883,96,188706031050,1887,6,3,104800,39.2,-119.8,6.5
-123.599999999563,39.2999999988261,97,188712031855,1887,12,3,1855,39.3,-123.6,5
-123.599999999563,39.1999999991883,98,188802181050,1888,2,18,105000,39.2,-123.6,5.5
-120.699999999568,39.6999999990132,99,188804290448,1888,4,29,44800,39.7,-120.7,6.2
-116.700000000224,34.0999999994334,100,188902070520,1889,2,7,52000,34.1,-116.7,5.6
-121.399999999969,36.9499999993325,101,188904150328,1889,4,15,32800,36.95,-121.4,5.5
-121.799999999814,38.0999999991376,102,188905191110,1889,5,19,111000,38.1,-121.8,6
-120.699999999568,40.4999999987274,103,188906200600,1889,6,20,60000,40.5,-120.7,6.2
-122.199999999658,37.7999999993478,104,188907311247,1889,7,31,124700,37.8,-122.2,5.6
-117.899999999758,34.1999999992107,105,188908280215,1889,8,28,21500,34.2,-117.9,5.6
-118.700000000345,37.1999999990843,106,188909300520,1889,9,30,52000,37.2,-118.7,6
-116.30000000038,33.3999999992546,107,189002091206,1890,2,9,120600,33.4,-116.3,6.8
-121.600000000341,36.899999998814,108,189004241136,1890,4,24,113600,36.9,-121.6,6.3
-124.199999999779,40.4999999987274,109,189007260940,1890,7,26,94000,40.5,-124.2,6.3
-121.799999999814,37.2999999991006,110,189101022000,1891,1,2,200000,37.3,-121.8,5.8
-114.999999999762,31.999999998898,111,189107301410,1891,7,30,141000,32,-115,6
-122.40000000003,38.2999999988419,112,189110120628,1891,10,12,62800,38.3,-122.4,5.9
-115.629999999764,32.5499999992982,113,189202240720,1892,2,24,72000,32.55,-115.63,7.3
-122.000000000185,38.3999999990182,114,189204191050,1892,4,19,105000,38.4,-122,6.6
-121.9,38.4999999990231,115,189204211743,1892,4,21,174300,38.5,-121.9,6.4
-121.799999999814,38.3999999990182,116,189204300009,1892,4,30,900,38.4,-121.8,5.6
-116.200000000194,33.1999999992239,117,189205281115,1892,5,28,111500,33.2,-116.2,6.5
-117.499999999913,34.1999999992107,118,189206141325,1892,6,14,132500,34.2,-117.5,5.5
-121.399999999969,36.749999999331,119,189211131245,1892,11,13,124500,36.75,-121.4,5.9
-118.60000000016,34.2999999992026,120,189304041940,1893,4,4,194000,34.3,-118.6,5.8
-119.399999999849,34.0999999994334,121,189305190035,1893,5,19,3500,34.1,-119.4,5.8
-122.699999999689,38.3999999990182,122,189308090915,1893,8,9,91500,38.4,-122.7,5.6
-117.600000000099,34.2999999992026,123,189407300512,1894,7,30,51200,34.3,-117.6,6.2
-124.500000000336,40.2999999992784,124,189409301736,1894,9,30,173600,40.3,-124.5,6.5
-116.80000000041,32.7999999992561,125,189410232303,1894,10,23,230300,32.8,-116.8,6.1
-118.299999999602,36.6999999988315,126,189608171130,1896,8,17,113000,36.7,-118.3,6.3
-121.500000000155,36.9999999989197,127,189706202014,1897,6,20,201400,37,-121.5,6.4
-122.500000000215,38.1999999989976,128,189803310743,1898,3,31,74300,38.2,-122.5,6.4
-123.799999999935,39.1999999991883,129,189804150707,1898,4,15,70700,39.2,-123.8,6.7
-125.800000000056,40.9999999989999,130,189904161340,1899,4,16,134000,41,-125.8,7
-121.600000000341,36.849999998737,131,189904302241,1899,4,30,224100,36.85,-121.6,6
-122.500000000215,37.699999998984,132,189906020719,1899,6,2,71900,37.7,-122.5,5.6
-121.399999999969,36.899999998814,133,189907062010,1899,7,6,201000,36.9,-121.4,5.8
-117.399999999728,34.1999999992107,134,189907220046,1899,7,22,4600,34.2,-117.4,5.9
-117.499999999913,34.2999999992026,135,189907222032,1899,7,22,203200,34.3,-117.5,6.4
-116.999999999883,33.7999999988292,136,189912251225,1899,12,25,122500,33.8,-117,6.7
-120.500000000095,35.9999999989515,137,190103030745,1901,3,3,74500,36,-120.5,6.4
-122.000000000185,38.2999999988419,138,190205191831,1902,5,19,183100,38.3,-122,5.5
-120.399999999909,34.7999999992813,139,190207280657,1902,7,28,65700,34.8,-120.4,5.8
-120.299999999723,34.6999999987529,140,190207310920,1902,7,31,92000,34.7,-120.3,5.8
-114.999999999762,31.4999999989453,141,190301240500,1903,1,24,50000,31.5,-115,6.6
-121.600000000341,36.0999999990242,142,190303250745,1903,3,25,74500,36.1,-121.6,5.9
-121.799999999814,37.1999999990843,143,190306111312,1903,6,11,131200,37.2,-121.8,6.1
-121.799999999814,37.2999999991006,144,190308030649,1903,8,3,64900,37.3,-121.8,6.2
-118.700000000345,35.4999999992769,145,190501061430,1905,1,6,143000,35.5,-118.7,5
-120.60000000028,36.499999998918,146,190505260250,1905,5,26,25000,36.5,-120.6,6.1
-118.799999999633,35.2999999990002,147,190512232223,1905,12,23,222300,35.3,-118.8,5.8
-122.500000000215,37.699999998984,148,190604181312,1906,4,18,131200,37.7,-122.5,7.8
-115.499999999793,32.8999999990961,149,190604190030,1906,4,19,3000,32.9,-115.5,6.2
-124.500000000336,40.9999999989999,150,190604230910,1906,4,23,91000,41,-124.5,6.4
-121.199999999598,35.4999999992769,151,190612070640,1906,12,7,64000,35.5,-121.2,5.7
-125.500000000397,40.4999999987274,152,190708111219,1907,8,11,121900,40.5,-125.5,6.4
-117.100000000069,34.1999999992107,153,190709200154,1907,9,20,15400,34.2,-117.1,5.8
-120.200000000436,35.5999999989658,154,190804271050,1908,4,27,105000,35.6,-120.2,5.5
-124.000000000306,40.7999999988403,155,190808181059,1908,8,18,105900,40.8,-124,5.8
-116.999999999883,35.9999999989515,156,190811040837,1908,11,4,83700,36,-117,6
-120.899999999939,39.3999999991244,157,190903031200,1909,3,3,120000,39.4,-120.9,5
-121.000000000125,39.4999999992735,158,190906230724,1909,6,23,72400,39.5,-121,5.9
-124.199999999779,40.4999999987274,159,190910290645,1909,10,29,64500,40.5,-124.2,6
-121.699999999628,36.9499999993325,160,191003110652,1910,3,11,65200,36.95,-121.7,5.8
-125.000000000367,39.99999999929,161,191003190011,1910,3,19,1100,40,-125,6
-116.499999999853,33.4999999989082,162,191004110757,1910,4,11,75700,33.5,-116.5,5.8
-118.419999999646,37.3299999987767,163,191005061640,1910,5,6,164000,37.33,-118.42,6
-117.399999999728,33.6999999991087,164,191005130620,1910,5,13,62000,33.7,-117.4,5
-117.399999999728,33.6999999991087,165,191005151547,1910,5,15,154700,33.7,-117.4,6
-122.100000000371,36.7999999988298,166,191012311211,1910,12,31,121100,36.8,-122.1,5.7
-121.75000000017,37.2499999990741,167,191107012200,1911,7,1,220000,37.25,-121.75,6.6
-118.419999999646,37.3299999987767,168,191201050352,1912,1,5,35200,37.33,-118.42,5.5
-119.799999999693,39.4999999992735,169,191402181817,1914,2,18,181700,39.5,-119.8,5.6
-119.799999999693,39.4999999992735,170,191404240834,1914,4,24,83400,39.5,-119.8,6
-122.000000000185,37.169999998994,171,191411090231,1914,11,9,23100,37.17,-122,5.5
-120.200000000436,34.5999999988712,172,191501120431,1915,1,12,43100,34.6,-120.2,5.7
-119.500000000034,38.5799999989846,173,191504052311,1915,4,5,231100,38.58,-119.5,5
-118.820000000388,36.0799999987436,174,191505290646,1915,5,29,64600,36.08,-118.82,5
-115.499999999793,32.7999999992561,175,191506230359,1915,6,23,35900,32.8,-115.5,6
-115.499999999793,32.7999999992561,176,191506230456,1915,6,23,45600,32.8,-115.5,5.9
-114.999999999762,31.999999998898,177,191511210013,1915,11,21,1300,32,-115,6.6
-121.25000000014,36.669999999075,178,191608061938,1916,8,6,193800,36.67,-121.25,5.8
-116.100000000008,33.1999999992239,179,191609300211,1916,9,30,21100,33.2,-116.1,5.7
-118.899999999818,34.899999999023,180,191610230244,1916,10,23,24400,34.9,-118.9,5.5
-116.999999999883,35.9999999989515,181,191611100911,1916,11,10,91100,36,-117,5.9
-115.300000000319,32.7999999992561,182,191705280606,1917,5,28,60600,32.8,-115.3,5.5
-116.999999999883,33.7999999988292,183,191804212232,1918,4,21,223200,33.8,-117,6.8
-115.399999999607,32.5999999994997,184,191805010432,1918,5,1,43200,32.6,-115.4,5.6
