Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1787,3,28,0,0,0.0,-97.000,16.000,1,0.0,0,0.0,0,0.0,0,0.0,0,8.6,99,0.0,0,0.0,0,8.6,164
1806,3,25,0,0,0.0,-103.800,18.900,2; 3,33.0,88,0.0,0,7.5,3; 4,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
1818,5,31,0,0,0.0,-103.600,19.100,2; 3,33.0,88,0.0,0,7.7,3; 4,0.0,0,0.0,0,0.0,0,0.0,0,8.1,165
1820,5,4,0,0,0.0,-99.600,17.200,2; 3,33.0,88,0.0,0,7.6,3; 4,0.0,0,0.0,0,0.0,0,0.0,0,7.9,165
1837,11,22,0,0,0.0,-105.000,20.000,2; 3,33.0,88,0.0,0,7.7,3,0.0,0,0.0,0,0.0,0,0.0,0,8.1,165
1845,3,9,0,0,0.0,-97.000,16.600,2; 3,33.0,88,0.0,0,7.5,3,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
1845,4,7,0,0,0.0,-99.200,16.600,2; 3,33.0,88,0.0,0,7.9,3; 4,8.1,100,0.0,0,0.0,0,0.0,0,8.3,165
1854,5,5,0,0,0.0,-97.600,16.300,2; 3,33.0,88,0.0,0,7.7,3; 4,0.0,0,0.0,0,0.0,0,0.0,0,8.1,165
1858,6,19,0,0,0.0,-101.600,19.600,2; 3,99.0,88,0.0,0,7.5,3,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
1864,10,3,0,0,0.0,-97.400,18.700,2; 3,99.0,88,0.0,0,7.3,3,0.0,0,0.0,0,0.0,0,0.0,0,7.5,165
1870,5,11,0,0,0.0,-96.700,15.800,2; 3,33.0,88,0.0,0,7.9,3; 4,0.0,0,7.0,11,0.0,0,0.0,0,7.0,164
1872,3,27,0,0,0.0,-96.600,15.700,2; 3,33.0,88,0.0,0,7.4,3; 4,0.0,0,0.0,0,0.0,0,0.0,0,7.7,165
1874,3,16,0,0,0.0,-99.100,17.700,2; 3,99.0,88,0.0,0,7.3,3,0.0,0,0.0,0,0.0,0,0.0,0,7.5,165
1875,2,11,0,0,0.0,-103.800,21.000,2; 3,33.0,88,0.0,0,7.5,3,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
1875,3,9,0,0,0.0,-104.600,19.400,2; 3,33.0,88,0.0,0,7.4,3,0.0,0,0.0,0,0.0,0,0.0,0,7.7,165
1879,5,17,0,0,0.0,-98.000,18.600,2; 3,99.0,88,0.0,0,7.0,3,0.0,0,0.0,0,0.0,0,0.0,0,7.2,165
1882,7,19,0,0,0.0,-98.200,17.700,2; 3,99.0,88,0.0,0,7.5,3,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
1887,5,3,0,0,0.0,-109.200,31.000,3,10.0,88,0.0,0,7.3,3,0.0,0,0.0,0,0.0,0,0.0,0,7.5,165
1887,5,29,0,0,0.0,-99.800,17.200,2; 3,33.0,88,0.0,0,7.2,3,0.0,0,0.0,0,0.0,0,0.0,0,7.4,165
1889,9,6,0,0,0.0,-99.700,17.000,2; 3,33.0,88,0.0,0,7.0,3,0.0,0,0.0,0,0.0,0,0.0,0,7.2,165
1890,12,2,0,0,0.0,-98.600,16.700,2; 3,33.0,88,0.0,0,7.2,3,7.5,4,0.0,0,0.0,0,0.0,0,7.9,165
1894,11,2,0,0,0.0,-98.000,16.500,2; 3,33.0,88,0.0,0,7.4,3; 4,0.0,0,0.0,0,0.0,0,0.0,0,7.7,165
1897,6,5,0,0,0.0,-95.400,16.300,2; 3; 4,33.0,88,0.0,0,7.4,0,0.0,0,7.0,11,0.0,0,0.0,0,7.0,164
1899,1,14,2,36,0.0,-110.000,20.000,5; 6,0.0,0,0.0,0,7.4,5; 6,0.0,0,0.0,0,0.0,0,0.0,0,7.7,165
1899,1,24,23,43,0.0,-100.500,17.100,2; 3,33.0,88,0.0,0,7.9,5; 3; 101,0.0,0,0.0,0,0.0,0,0.0,0,8.3,165
1900,1,20,6,33,30.0,-105.000,20.000,5; 2; 7,25.0,7; 20,0.0,0,7.6,14; 13; 4,8.1,7,0.0,0,0.0,0,0.0,0,7.9,165
1900,5,16,20,12,0.0,-105.000,20.000,5; 2; 7,25.0,7; 20,0.0,0,7.1,4,7.6,7; 101,0.0,0,0.0,0,0.0,0,7.3,165
1900,11,9,16,10,0.0,-90.000,13.000,0,0.0,0,0.0,0,7.0,129,0,0,0.0,0,0.0,0,0.0,0,7.0,165
1901,3,5,10,45,0.0,-110.000,25.000,5,Sh,5,0.0,0,7.2,5,0.0,0,0.0,0,0.0,0,0.0,0,7.4,165
1901,10,8,2,14,0.0,-87.000,13.000,0,0.0,0,0.0,0,7.1,129,0,0,7.1,161,0.0,0,0.0,0,7.1,164
1901,12,9,2,17,0.0,-110.000,26.000,5; 6,0.0,0,0.0,0,7.5,5,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
1902,1,16,23,19,0.0,-99.720,17.620,8,0.0,0,0.0,0,7.0,89; 102,0.0,0,0.0,0,0.0,0,0.0,0,7.2,165
1902,4,19,2,24,0.0,-91.500,14.930,9; 10,25.0,20,0.0,0,7.9,5; 101,7.5,9; 10,7.5,43,0.0,0,0.0,0,7.5,164
1902,9,23,20,18,15.0,-92.583,16.583,11,25.0,13,0.0,0,7.6,9; 10,8.2,5; 101,7.8,11,0.0,0,0.0,0,7.8,164
1902,12,12,23,10,0.0,-114.000,29.000,5; 6,0.0,0,0.0,0,7.5,5,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
