Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Template Event Magnitude,Detection Magnitude,Event Template ID,Detection ID,Correlation Coefficient
2016,9,11,4,33,1,38.4664,-112.7945,4.02,-0.0,-1.4,73,1609110001,0.5980
2016,9,11,7,2,12,38.4677,-112.7892,2.44,-0.7,-1.4,58,1609110002,0.6840
2016,9,14,16,20,11,38.4698,-112.7871,1.27,-0.1,-0.7,19,1609140001,0.4500
2016,9,17,18,29,1,38.4678,-112.7989,5.55,0.1,-0.6,11,1609170001,0.5900
2016,9,17,18,35,26,38.4678,-112.7989,5.55,0.1,-0.6,11,1609170002,0.5900
2016,9,17,18,42,59,38.4678,-112.7989,5.55,0.1,-0.7,11,1609170003,0.6370
2016,9,17,20,35,11,38.4678,-112.7989,5.55,0.1,-0.8,11,1609170004,0.6830
2016,9,17,22,7,27,38.4678,-112.7989,5.55,0.1,-0.6,11,1609170005,0.7100
2016,9,17,22,8,51,38.4678,-112.7989,5.55,0.1,-0.7,11,1609170006,0.6390
2016,9,17,22,13,56,38.4678,-112.7989,5.55,0.1,-0.4,11,1609170007,0.6260
2016,9,18,4,16,33,38.4693,-112.7955,4.78,0.3,0.5,31,1609180001,0.7070
2016,9,18,4,28,9,38.4678,-112.7989,5.55,0.1,-0.7,11,1609180002,0.5260
2016,9,18,8,12,22,38.4652,-112.7929,3.65,0.2,-1.6,09,1609180004,0.3700
2016,9,18,8,13,59,38.4678,-112.7989,5.55,0.1,-1.4,11,1609180005,0.6460
2016,9,18,8,14,6,38.4678,-112.7989,5.55,0.1,-1.1,11,1609180006,0.5980
2016,9,18,8,14,14,38.4677,-112.7892,2.44,-0.7,-1.2,58,1609180007,0.5810
2016,9,18,8,52,46,38.4678,-112.7989,5.55,0.1,-0.5,11,1609180008,0.6710
2016,9,18,9,0,8,38.4678,-112.7989,5.55,0.1,-1.7,11,1609180009,0.4910
2016,9,18,10,16,6,38.4698,-112.7871,1.27,-0.1,-0.9,19,1609180010,0.5800
2016,9,18,13,40,11,38.4678,-112.7989,5.55,0.1,-1.5,11,1609180011,0.4330
2016,9,18,16,59,1,38.4680,-112.7941,4.20,-0.6,-1.2,20,1609180012,0.5410
2016,9,20,22,27,35,38.4680,-112.7941,4.20,-0.6,-1.4,20,1609200001,0.4390
2016,9,20,23,19,32,38.4678,-112.7989,5.55,0.1,-0.7,11,1609200002,0.5470
2016,9,21,0,55,56,38.4677,-112.7892,2.44,-0.7,-1.6,58,1609210001,0.5110
