Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2023,7,22,21,20,39,3.3,32.8400,-100.9477,5.0
2023,7,22,9,24,22,3.6,31.9345,-102.3422,8.8
2023,7,21,21,29,26,2.6,31.9684,-102.3111,9.5
2023,7,21,7,46,18,0.9,32.2000,-102.1343,12.3
2023,7,21,6,58,57,2.4,29.1660,-97.6713,1.1
2023,7,21,3,32,24,2.1,29.1586,-97.6775,1.6
2023,7,21,1,15,41,2.5,31.6746,-104.4862,6.0
2023,7,20,14,2,43,2.1,29.2722,-97.4790,3.1
2023,7,20,2,16,18,2.2,28.9691,-98.2659,3.9
2023,7,19,20,39,39,2.2,31.6030,-103.9239,7.6
2023,7,19,17,2,35,2.2,28.9948,-98.3362,1.6
2023,7,19,16,59,59,1.7,28.9462,-98.2917,2.4
2023,7,19,11,52,46,2.2,31.6335,-104.4860,8.1
2023,7,19,6,54,52,2.0,31.6248,-104.1241,6.8
2023,7,19,6,44,6,2.6,28.9719,-98.2814,2.5
2023,7,19,5,47,46,3.2,28.9774,-98.2793,2.8
2023,7,19,4,57,14,2.2,31.6777,-104.2003,7.1
2023,7,19,4,25,16,2.1,29.0323,-98.2855,4.1
2023,7,19,4,22,9,3.8,28.9737,-98.2814,4.7
2023,7,19,0,6,10,2.0,29.2593,-97.4831,2.6
2023,7,18,10,36,39,1.1,31.6014,-103.9707,7.8
2023,7,18,9,11,9,2.3,31.6740,-104.2024,6.9
2023,7,18,4,21,21,2.1,28.5800,-98.9431,2.8
2023,7,17,23,24,4,2.1,31.6622,-104.2610,7.5
2023,7,17,23,15,2,2.6,31.6590,-104.2626,7.6
2023,7,17,23,13,3,2.9,31.6540,-104.2620,7.9
2023,7,17,21,25,27,3.2,31.6526,-104.4762,7.2
2023,7,17,17,24,46,2.1,28.9691,-98.2824,1.8
2023,7,17,17,10,42,2.1,31.6566,-104.4348,5.7
2023,7,17,14,2,28,2.3,32.8445,-100.9745,5.9
2023,7,17,11,32,32,2.4,32.8409,-100.9745,0.8
2023,7,17,3,42,38,2.2,31.9933,-103.8687,7.4
2023,7,17,3,17,56,2.3,31.7182,-104.5251,5.6
2023,7,16,21,16,9,2.7,31.6743,-104.2027,7.5
2023,7,16,21,13,8,2.0,31.6713,-104.2019,7.5
2023,7,16,20,57,11,2.5,32.1222,-101.0506,4.6
2023,7,16,19,30,7,1.9,31.5959,-104.1992,7.3
2023,7,16,16,42,4,2.4,31.1381,-103.2830,1.2
2023,7,16,16,4,52,2.0,31.3157,-103.4401,5.8
2023,7,16,8,5,34,1.9,31.6773,-104.2003,6.6
2023,7,16,7,45,37,3.0,31.6123,-103.9856,8.7
2023,7,16,7,44,7,2.3,31.6143,-103.9815,8.3
2023,7,16,3,53,42,2.4,31.6664,-104.2920,8.0
2023,7,16,2,4,52,2.7,31.6128,-103.9784,8.3
2023,7,16,1,56,55,2.5,31.6097,-103.9777,8.4
2023,7,16,1,51,55,2.9,31.6121,-103.9776,8.1
2023,7,16,1,46,26,2.3,31.6102,-103.9707,7.9
2023,7,16,1,42,32,2.2,31.6072,-103.9752,8.0
2023,7,16,1,20,19,2.5,31.6114,-103.9786,8.3
2023,7,16,1,19,54,0.8,31.6136,-103.9828,8.8
2023,7,15,23,32,22,2.8,31.7303,-104.5330,5.4
2023,7,15,18,5,42,2.2,31.6265,-104.5005,6.9
2023,7,15,11,26,9,2.3,31.5350,-104.0365,5.0
2023,7,15,8,53,47,3.0,31.6596,-104.3923,7.1
2023,7,15,1,22,59,2.1,31.6905,-104.2952,7.2
2023,7,14,23,52,4,2.2,31.6940,-104.2944,7.3
2023,7,14,20,54,46,2.2,31.6562,-104.4311,6.2
2023,7,14,19,41,53,2.6,31.6507,-104.4278,6.9
2023,7,14,12,1,19,2.0,31.5375,-104.1523,6.4
2023,7,14,4,11,11,2.4,28.5965,-98.9659,6.7
2023,7,13,23,41,6,2.1,31.7669,-104.6474,4.5
2023,7,13,17,24,3,1.9,32.3886,-101.0560,7.5
2023,7,13,15,1,19,2.9,31.5991,-104.1998,7.2
2023,7,13,7,38,29,2.2,31.7319,-104.5072,7.0
2023,7,13,2,39,58,2.4,29.2795,-97.4790,3.7
2023,7,13,1,44,6,2.2,31.6097,-103.9804,7.7
2023,7,13,1,2,1,1.6,31.6025,-103.9903,7.2
2023,7,13,0,38,15,2.0,31.6901,-104.3011,7.4
2023,7,12,22,46,51,2.0,31.5969,-104.1976,7.3
2023,7,12,16,44,26,2.3,31.6627,-104.4214,6.5
2023,7,12,15,2,39,3.8,31.5600,-104.0940,7.2
2023,7,12,13,25,25,1.9,31.6116,-104.2378,7.5
2023,7,12,12,22,15,2.0,31.6160,-104.2370,7.5
2023,7,12,11,37,12,2.6,32.4353,-102.0775,10.2
2023,7,12,8,17,29,2.7,31.6843,-104.1564,7.4
2023,7,12,7,46,55,2.2,31.6811,-104.3387,7.3
2023,7,12,3,53,1,2.1,31.6916,-104.3549,7.8
2023,7,11,22,49,5,2.3,29.0652,-97.8285,3.2
2023,7,11,18,13,28,2.2,31.6928,-104.3027,8.0
2023,7,11,16,54,44,2.5,32.6944,-100.7001,6.4
2023,7,11,14,10,38,2.2,29.2905,-97.4810,3.4
2023,7,11,13,20,52,2.0,31.7214,-104.2927,7.6
2023,7,11,9,32,19,1.2,32.2018,-102.1343,9.4
2023,7,11,7,50,10,1.9,29.2813,-97.4872,0.1
2023,7,11,4,59,58,2.0,31.6814,-104.5072,7.5
2023,7,10,21,29,44,2.2,31.6565,-104.3073,7.9
2023,7,10,12,15,57,2.1,31.6816,-104.4001,7.7
2023,7,10,6,33,32,2.3,31.7259,-104.5974,9.3
2023,7,9,22,21,26,2.0,31.5995,-104.1110,7.6
2023,7,9,16,58,40,2.0,32.7457,-100.6594,7.7
2023,7,8,11,8,7,2.1,31.5631,-104.0183,8.5
2023,7,8,0,32,3,2.3,31.6916,-104.3458,9.5
2023,7,7,17,41,15,3.3,31.6560,-104.3040,9.1
2023,7,7,13,56,37,2.4,31.5341,-104.1493,7.2
2023,7,7,1,0,33,2.5,31.6429,-104.2760,7.6
2023,7,6,23,47,48,2.0,31.1055,-103.6590,7.9
2023,7,6,16,22,13,2.1,31.6622,-104.4839,8.3
2023,7,6,14,15,42,2.1,29.1559,-97.6909,2.6
2023,7,6,13,30,11,2.5,31.5958,-104.5245,10.0
2023,7,6,11,23,51,2.1,31.6551,-104.2981,8.5
2023,7,6,2,45,14,2.6,31.6025,-104.5164,6.7
2023,7,5,21,24,8,1.7,31.6139,-104.0966,7.4
2023,7,5,17,37,42,2.7,31.6871,-104.1530,9.5
2023,7,5,15,10,48,1.9,31.6116,-104.0960,7.1
2023,7,5,13,38,40,2.0,31.6679,-104.3214,7.3
2023,7,5,10,30,35,2.3,31.6498,-104.4154,7.6
2023,7,5,10,4,31,1.9,31.6004,-104.0217,1.1
2023,7,5,7,23,18,1.9,31.7172,-104.2927,8.5
2023,7,5,6,54,19,1.7,31.3769,-103.4921,0.9
2023,7,4,14,48,35,2.1,31.6702,-104.3989,8.2
2023,7,4,12,6,2,2.3,31.7118,-104.2797,9.5
2023,7,4,12,5,54,1.8,31.7200,-104.2841,8.6
2023,7,4,6,35,58,2.1,32.8317,-100.9381,6.5
2023,7,4,2,39,3,2.1,31.6109,-103.9581,7.7
2023,7,4,2,25,39,1.8,31.2621,-103.4024,2.8
2023,7,4,1,55,51,2.0,31.6664,-104.4123,7.3
2023,7,3,22,13,31,3.0,31.8631,-101.7977,9.9
2023,7,3,21,14,42,2.1,31.6270,-104.1224,7.2
2023,7,3,19,21,5,2.0,31.5190,-104.0117,8.1
2023,7,3,17,32,22,1.8,31.6157,-104.1031,7.0
2023,7,3,9,29,44,2.4,31.6903,-104.2922,10.1
2023,7,2,23,48,23,1.9,31.6152,-103.9809,8.6
2023,7,2,23,44,18,2.3,31.5196,-104.0110,8.1
2023,7,2,22,45,33,2.7,31.5292,-104.0133,9.6
2023,7,2,22,41,47,2.1,31.5301,-104.0101,7.7
2023,7,2,10,50,18,1.7,31.6680,-104.5130,7.1
2023,7,2,10,41,25,2.3,31.6708,-104.5076,6.8
2023,7,2,10,36,40,2.1,31.6850,-104.2957,8.6
2023,7,2,10,20,7,2.8,31.6540,-104.2588,7.2
2023,7,2,9,44,43,2.3,31.6811,-104.2954,9.0
2023,7,1,18,51,13,2.9,30.2682,-104.6467,2.9
2023,7,1,3,52,43,2.1,31.5622,-104.1398,7.2
2023,7,1,3,11,19,2.5,32.4435,-102.1214,8.8
2023,6,30,22,37,30,2.2,31.6700,-104.3585,8.0
2023,6,30,22,19,6,2.3,31.6718,-104.3596,7.3
2023,6,30,20,24,17,1.8,31.2796,-103.6790,6.3
2023,6,30,16,58,46,2.1,31.6862,-104.4012,7.4
2023,6,30,12,59,23,2.1,31.7341,-104.5821,8.3
2023,6,30,12,8,0,2.0,31.6815,-104.4205,7.5
2023,6,30,7,45,36,2.0,31.6267,-104.5018,9.0
2023,6,29,19,6,17,1.7,31.6551,-104.3832,7.3
2023,6,29,19,1,19,2.5,31.6126,-103.9893,7.7
2023,6,29,18,25,51,2.4,31.6119,-103.9954,8.9
2023,6,29,17,51,44,2.2,31.6092,-103.9895,8.0
2023,6,29,17,49,52,2.1,31.6099,-103.9946,7.6
2023,6,29,15,28,24,2.5,32.4417,-102.1193,8.7
2023,6,29,11,45,53,2.1,31.6813,-104.4149,7.4
2023,6,29,8,21,56,1.9,31.6889,-104.4158,7.3
2023,6,29,1,43,56,1.7,31.6347,-104.4820,8.0
2023,6,28,22,36,8,2.3,31.6087,-103.9614,8.9
2023,6,28,22,32,4,2.1,31.6101,-103.9606,8.5
2023,6,28,19,20,54,2.0,32.8317,-100.9338,7.0
2023,6,28,18,7,23,2.1,31.6762,-104.4848,6.3
2023,6,28,17,1,47,1.8,31.6810,-104.4216,7.2
2023,6,28,16,47,5,2.4,31.5873,-104.2685,6.7
2023,6,28,14,23,23,1.6,31.6918,-104.4659,5.7
2023,6,28,11,32,5,2.0,31.6313,-104.3620,7.3
2023,6,28,7,36,13,1.1,32.2055,-102.1300,8.6
2023,6,28,7,14,26,1.9,31.0225,-103.2106,5.2
2023,6,28,4,42,13,1.9,31.7137,-104.2620,8.2
2023,6,27,23,46,57,3.3,32.8427,-100.9467,4.9
2023,6,27,22,40,46,1.7,31.6287,-104.3340,8.0
2023,6,27,2,58,43,2.2,31.6250,-104.4830,8.3
2023,6,27,0,59,20,2.1,31.6138,-103.9965,7.8
2023,6,26,20,41,9,2.0,30.4561,-103.6078,8.2
2023,6,26,11,57,21,2.2,32.8391,-100.9745,5.1
2023,6,26,11,30,46,1.9,28.8602,-98.1283,0.2
2023,6,26,11,3,53,2.2,32.0865,-101.6262,9.4
2023,6,26,8,14,23,2.1,31.6711,-104.2214,7.2
2023,6,25,23,32,17,2.0,32.1140,-101.0581,1.8
2023,6,25,22,28,3,2.2,31.7268,-104.3298,7.3
2023,6,25,21,9,4,2.1,31.6884,-104.3517,7.8
2023,6,25,18,22,29,1.7,31.7668,-103.8130,8.0
2023,6,25,14,30,31,2.2,31.4783,-103.9545,6.5
2023,6,25,13,41,32,2.2,31.5227,-104.0079,8.2
2023,6,25,13,28,59,1.7,31.6445,-104.2682,7.0
2023,6,25,12,50,29,2.6,31.6315,-104.4136,9.0
2023,6,25,9,42,18,1.8,31.6583,-104.3132,7.8
2023,6,25,9,1,28,2.1,32.0938,-101.4933,12.6
2023,6,25,6,27,1,2.3,31.7273,-104.2992,7.2
2023,6,25,2,36,6,2.2,31.4983,-104.0277,7.6
2023,6,24,21,41,30,2.1,31.6921,-104.3517,7.9
2023,6,24,21,12,8,2.3,31.6562,-104.3589,7.2
2023,6,24,20,26,49,2.9,31.6862,-104.1605,7.1
2023,6,24,15,12,42,2.4,31.6523,-104.3094,9.1
2023,6,24,13,46,44,2.0,31.6839,-104.1621,6.3
2023,6,24,13,40,40,2.4,31.6853,-104.1595,7.1
2023,6,24,12,36,39,2.0,31.7381,-104.5353,5.9
2023,6,24,11,30,14,2.1,31.6878,-104.2989,8.3
2023,6,24,11,16,22,2.0,31.6605,-104.4042,7.3
2023,6,24,5,32,12,2.2,31.7161,-104.5617,7.1
2023,6,24,5,28,9,2.1,31.6789,-104.4022,7.4
2023,6,24,3,41,30,2.0,31.6884,-104.3040,8.0
2023,6,23,19,38,27,2.1,31.6080,-103.9603,8.3
2023,6,23,19,25,38,2.1,31.6094,-103.9622,8.5
2023,6,23,18,19,26,2.0,31.6056,-103.9529,8.0
2023,6,23,16,55,45,2.0,31.6084,-103.9588,8.7
2023,6,23,14,47,23,1.9,31.8842,-101.8952,11.7
2023,6,23,12,5,0,2.0,31.6798,-104.3974,7.3
2023,6,23,9,25,1,2.3,31.6830,-104.1594,7.7
2023,6,23,2,10,6,1.9,31.4395,-103.7479,1.4
2023,6,23,1,30,31,1.9,31.6483,-104.2905,6.3
2023,6,22,23,37,9,1.9,31.6153,-104.5143,7.5
2023,6,22,19,16,49,2.2,31.6808,-104.4496,6.4
2023,6,22,16,2,11,2.0,31.6166,-104.1014,7.7
2023,6,22,14,45,31,2.3,31.6664,-104.3006,8.0
2023,6,22,12,34,23,2.1,31.5338,-104.1770,9.9
2023,6,22,9,48,10,1.8,31.7357,-104.4948,5.4
2023,6,22,9,39,17,2.1,31.5474,-104.1666,7.2
2023,6,22,9,14,6,2.1,31.6780,-104.3995,7.3
2023,6,22,7,55,10,2.1,31.6143,-103.9723,7.5
2023,6,22,7,43,29,2.2,31.6127,-103.9774,8.0
2023,6,22,7,41,53,2.2,31.6127,-103.9763,7.7
2023,6,22,0,27,38,2.4,28.9224,-98.1056,7.6
2023,6,21,21,0,12,2.0,31.8869,-101.9070,7.4
2023,6,21,19,34,52,2.3,35.7980,-101.2804,7.8
2023,6,21,17,24,2,1.9,29.1476,-97.7127,7.0
2023,6,21,17,4,53,2.4,29.1550,-97.6899,4.2
2023,6,21,16,46,34,2.2,31.5204,-104.0106,7.8
2023,6,21,13,41,33,2.0,31.4844,-103.9143,6.5
