No.,Date,Place,Latitude,Longitude,Fatalities,Magnitude,Comments
1,1920BC,Qinghaisee Jishi Gorge outburst flood,,,,,Flood caused by landslide after earthquake
2,1740BC,Fa of Xiasee Mount Tai earthquake,N 34.2705°,E 108.92512°,,,Listed in the Bamboo Annals
3,479BC,Aegean Seasee 479 BC Potidaea earthquake,N 39.7°,E 23.3°,Many,7.0 (approx),Oldest record of a tsunami. Saved Potidaea from an invasion by the Achaemenid Empire.
4,464BC,"Sparta, Greecesee 464 BC Sparta earthquake",,,,7.2 (approx)," Led to a helot uprising and strained relations with Athens, one of the factors that led to the Peloponnesian War"
5,373BC,"Gulf of Corinth, Greece",,,,,Destroyed ancient city of Helike by Tsunami
6,226BC,"Rhodes, Greecesee 226 BC Rhodes earthquake",,,,,Destroyed Colossus of Rhodes and city of Kameiros
7,60BC,Portugal and Galicia coasts,,,,8.5,Caused a tsunami
8,17AD,Asia minorsee AD 17 Lydia earthquake,37.85,27.3,,,Destroyed 13 cities in Asia (minor)
9,"February 5, 62AD","Bay of Naples, Italy see AD 62 Pompeii earthquake",,,,5–6,"Brought down a large part of Pompeii, caused severe damage in Herculaneum and Nuceria."
10,89AD,"Baekje, Seoul, Korea",,,Lots of people,6.7,Houses were broken and lots of people died.
11,110AD,"Dian Kingdom, Yunnan, southwestern China",,,probably thousands,,Flooded administrative centre of the Dian Kingdom
12,"December 13, 115AD",Antioch see 115 Antioch earthquake,36.1,36.1,"260,000 (approx)",7.5,
13,141 or 142AD,"Lycia, Caria, Dodecanesesee 141 Lycia earthquake",36.7,28.0,,8,Triggered a severe tsunami that caused inundation at Rhodes
14,"May 18, 363AD",Syriasee 363 Galilee earthquake,,,"""thousands""",7 (approx),"Destruction also in ""The Holy Land"", Petra"
15,"July 21, 365AD",Crete (Greece)see 365 Crete earthquake,,,"""thousands""",8.5+,Destruction also in Cyrene & Alexandria (by tsunami). Uplifted Crete by 9 metres.
16,382AD,"Cape St. Vincent, Portugal",,,,7.5,"According to Roman historian Ammianus Marcellinus, the earthquake and corresponding tsunami sank two islets that were situated near Cape St. Vincent."
17,"May 19, 526AD","Antioch, Turkey  see 526 Antioch earthquake",,,"250,000",7.0,"The city of Antioch was greatly damaged, and some decades later the city's population was just 300,000."
18,"July 6, 551AD","Beirut, Tyre, Tripoli  see 551 Beirut earthquake",33.9,35.5,"30,000",7.5," Triggered a devastating tsunami, all the cities of the Phoenician coast from Tyre to Tripoli were reduced to ruins"
19,"November 26, 684AD","Shikoku, Japansee 684 Hakuhō earthquake",32.8,134.3,"101–1,000",8.4 MK (Kawasumi scale),"Various references estimate the quake's magnitude at 8.0 to 8.4, with damage being ""severe"". Other dates for the quake are: October14 (incorrect date) and November24.[17]"
20,"January 18, 749AD",The Levant  see 749 Galilee earthquake,,,"""tens of thousands""",7.0–7.5 (approx),"The cities of Tiberias, Beit She'an, Hippos and Pella were largely destroyed while many other cities across the Levant region were heavily damaged."
21,"April 29, 801AD",Central Italy  see 801 Apennine earthquake,41.896,12.482,,5.4 Me,There was severe damage in Rome. The quake was also felt in Spoleto.
22,"November 24, 847AD","Damascus, Syria see 847 Damascus earthquake",33.5,36.3,"70,000",7.3,
23,December 856AD,"Corinth, Greece",37.9,22.9,"45,000",,
24,"December 22, 856AD (aftershocks for about a year)","Qumis, Iran. From Khuvar to Bustam and Gurgan. The town of Qumis (Hecatompylos) hardest hit.see 856 Damghan earthquake",36.23,54.14,"200,000.",7.9 (approx),"The city of Qumis was half destroyed and had 45,096 casualties."
25,"July 13, 869AD","Sendai, Japansee 869 Jōgan earthquake",38.5,143.8,"1,000 (approx)",8.6–9.0,
26,"March 23, 893AD","Ardabil, Iransee 893 Ardabil earthquake",38.28,48.30,"150,000",,
27,"December 28, 893AD","Dvin, Armeniasee 893 Dvin earthquake",40.0,44.6,"30,000",6 (approx),Mislocated in India
28,December 1033,"Jordan Valley, Levant, Israel & the State of Palestinesee 1033 Jordan Rift Valley earthquake",32.5,35.5,"70,000",7.3,. Triggered a tsunami.
29,December 1037,"Taizhou, Jiangsu, China",32.0,119.0,"22,391",,
30,"August 12, 1042","Palmyra, Baalbek, Syria, Lebanon",35.1,38.9,"50,000",7.2 (>VIII),
31,"March 18, 1068",Near East  see 1068 Near East earthquake,,,"20,000",≥7.0,
32,"October 11, 1138","Aleppo, Syriasee 1138 Aleppo earthquake",36.1,36.8,"230,000",7.1,
33,"September 30, 1139","Ganja, Azerbaijansee 1139 Ganja earthquake",40.3,46.2,"230,000–300,000",7.7,. Resulted in the total destruction of Ganja.
34,"August 12, 1157","Hama, Syriasee 1157 Hama earthquake",35.1,36.3,"""Tens of thousands""",7.2, Largest in a sequence lasting from late 1156 to early 1159
35,"February 4, 1169",Sicilysee 1169 Sicily earthquake,37.3,15.0,"15,000",6.4–7.3,
36,"June 29, 1170",Eastern Mediterraneansee 1170 Syria earthquake,34.4,36.4,"5,000–80,000 in Aleppo[39]25,000 in Hama",7.3–7.5[40]7.7[41],"Syria, Lebanon, central southern Turkey"
37,"July 5, 1201 and/or May 20, 1202",Eastern Mediterranean; see 1202 Syria earthquake,,,"1,100,000 (includes famine/disease deaths)",7.6,Damage across a wide area from Syria to Upper Egypt
38,"May 11, 1222",Cyprussee 1222 Cyprus earthquake,34.7,32.6,,7.0–7.5,"Caused damage at Paphos, Limassol and Nicosia"
39,1268,"Cilicia, Anatolia (Armenian Kingdom of Cilicia)see 1268 Cilicia earthquake",37.5,35.5,"60,000",7 (approx),
40,"September 27, 1290","Zhili (Hebei), Chinasee 1290 Zhili earthquake",41.5,119.3,"100,000",6.8,
41,"May 26, 1293","Kamakura, (now in Kanagawa Prefecture, Kantō region,) Japansee 1293 Kamakura earthquake",35.2,139.4,"23,024",7.1,
42,"August 8, 1303","1303 Crete earthquake,  Greece",35,27,"up to 10,000",~8,Triggered a major tsunami that devastated Alexandria in Egypt
43,"September 25, 1303","1303 Hongdong earthquake,  China",36.3,111.7,"270,000", 7.2–7.6,Taiyuan and Pingyang (modern Linfen) were leveled.
44,"January 1, 1341","Crimea, Ukraine",,,Not known,6,
45,"January 25, 1348","Friuli, Venice, Romesee 1348 Friuli earthquake",46.37,13.58,"10,000",6.9,
46,"August 24, 1356","Lisbon, Portugalsee 1356 Lisbon earthquake",,,,8.5,
47,"October 18, 1356","Basel, Switzerlandsee 1356 Basel earthquake",47.5,07.6,"1,000",6.2,
48,"May 21, 1382","Canterbury, UKsee 1382 Dover Straits earthquake",,,,5.8,"Struck during synod – later called ""Earthquake Synod"" – called to condemn heresy of John Wycliffe – some saw as portentous"
49,"February 2, 1428",Catalonia (now Spain)1428 Catalonia earthquake,42.4,2.2,"1,000s",6.7,Sometimes called the terratrèmol de la candelera because it took place during the Candlemas.
50,"December 5, 1456","Province of Benevento, Kingdom of Naples (now Italy)1456 Central Italy earthquakes",41.3,14.7,"30,000–70,000",7.2,The largest and most widespread earthquake on the Italian Peninsula. Was followed by another  7.0 shock on December 30.
51,"May 3, 1481",Rhodessee 1481 Rhodes earthquake,36.0,28.0,"30,000",7.1,Largest of a series that lasted 10 months
52,"September 20, 1498",Honshusee 1498 Meiō earthquake,34.0,138.1,"31,000",8.6,
53,"June 6, 1505",Nepalsee 1505 Lo Mustang earthquake,29.5,83.0,30% of Nepalese population,8.2–8.8,
