Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2020,12,23,14,58,24,4.5,38.39228,21.99747,8.345
2020,12,23,15,02,13,2.5,38.38724,22.01582,7.165
2020,12,23,15,02,50,3.6,38.38477,21.99151,5.953
2020,12,23,15,11,36,1.4,38.38005,22.01193,6.853
2020,12,23,15,17,10,3.0,38.38095,22.01553,6.830
2020,12,23,15,29,58,2.0,38.37665,21.99723,7.056
2020,12,23,15,40,29,2.2,38.38751,22.01369,7.192
2020,12,23,15,43,10,3.1,38.37873,22.00728,6.878
2020,12,23,15,55,21,2.3,38.38162,22.02028,7.130
2020,12,23,16,13,55,0.8,38.37971,22.01238,6.904
2020,12,23,16,21,22,1.7,38.38175,22.01290,6.722
2020,12,23,16,35,02,1.2,38.38175,22.01345,6.871
2020,12,23,16,36,54,2.0,38.38341,22.01341,6.878
2020,12,23,16,40,24,1.9,38.39104,22.00652,7.399
2020,12,23,17,41,50,1.8,38.38634,22.01182,7.235
2020,12,23,17,43,42,2.2,38.37927,22.01536,6.915
2020,12,23,18,22,13,1.6,38.38762,22.01301,7.302
2020,12,23,18,23,46,3.1,38.38407,22.02074,7.518
2020,12,23,18,40,55,1.6,38.38183,22.01427,6.915
2020,12,23,18,49,32,2.5,38.38495,22.02123,7.164
2020,12,23,18,50,13,2.4,38.38438,22.01811,7.188
2020,12,23,19,21,47,1.9,38.38781,22.01630,7.183
2020,12,23,19,27,43,3.0,38.37798,22.00626,6.861
2020,12,23,19,36,14,2.1,38.38219,22.02281,7.364
2020,12,23,19,50,15,1.5,38.38527,22.02220,7.166
2020,12,23,19,54,07,1.5,38.38399,22.02339,7.233
2020,12,23,19,58,06,1.8,38.38026,21.99647,7.053
2020,12,23,19,58,55,0.8,38.37957,22.02404,7.155
2020,12,23,20,00,09,1.0,38.38188,22.02406,7.372
2020,12,23,20,02,24,3.7,38.38925,22.02611,7.390
2020,12,23,20,08,07,1.3,38.38131,22.02289,7.195
2020,12,23,20,08,41,1.7,38.38308,22.02396,6.674
2020,12,23,20,10,06,0.8,38.38444,22.02422,7.268
2020,12,23,20,11,43,1.2,38.38759,22.01223,7.430
2020,12,23,20,15,48,1.5,38.38175,22.01963,7.137
2020,12,23,20,16,32,1.9,38.38311,22.01937,7.487
2020,12,23,20,17,38,2.7,38.38149,22.01757,6.907
2020,12,23,20,22,25,1.8,38.38199,22.02237,7.143
2020,12,23,20,24,12,0.9,38.38165,22.00908,6.919
2020,12,23,20,46,32,1.9,38.38471,22.02405,7.216
2020,12,23,20,47,39,1.1,38.37622,22.03236,10.143
2020,12,23,20,48,57,1.5,38.37680,22.03037,10.062
2020,12,23,20,49,06,1.7,38.36082,21.99888,5.965
2020,12,23,20,51,11,2.0,38.38712,22.01128,7.491
2020,12,23,20,52,22,0.9,38.38155,22.00852,6.904
2020,12,23,20,52,50,1.3,38.38015,22.01259,6.711
2020,12,23,20,55,56,1.7,38.37678,22.01655,6.696
2020,12,23,21,24,25,1.8,38.38306,22.01762,7.336
2020,12,23,21,26,04,0.9,38.38088,22.00596,7.050
2020,12,23,21,36,41,1.7,38.38313,22.01998,7.200
2020,12,23,21,36,57,1.9,38.37951,22.01542,6.879
2020,12,23,22,14,59,1.5,38.37614,21.99994,6.891
2020,12,23,22,20,29,2.7,38.38027,22.00295,6.850
2020,12,23,22,36,15,1.8,38.38047,22.00269,6.841
