Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region,Magnitude,Latitude (�N),Longitude (�E),Depth (km),Author,Upload Date (mm/yyyy)
2021210501,"Madoi, Qinghai, China",21/05/2021,"Qinghai, China",7.4,34.586,98.255,10,Jin and Fialko (2021),Jan-23
2019060701,"Ridgecrest, Southern California",6/7/2019,Central California,7.1,35.77,-117.599,7,Jin and Fialko (2020),Jan-23
2019040701,"Ridgecrest, Southern California",4/7/2019,Central California,6.4,35.705,-117.504,10.5,Jin and Fialko (2020),Jan-23
2019030101,"Changning earthquake, Sichuan",3/1/2019,"Sichuan, China",5.01,28.215,104.848,1.6,Wang et al. (2022),Dec-22
2018161201,"Changning earthquake, Sichuan",16/12/2018,"Sichuan, China",5.06,28.252,104.909,1,Wang et al. (2022),Dec-22
2018060901,"Iburi, Hokkaido, Japan",5/9/2018,"Hokkaido, Japan Region",6.8,42.6908,142.0067,37,Asano and Iwata (2019),Sep-21
2017080901,"Chiapas, Mexico",8/9/2017,"Off Coast Of Chiapas, Mexico",8.1,14.85,-94.11,18,Okuwaki and Yagi (2017),Nov-17
2017270101,"Changning earthquake, Sichuan",27/01/2017,"Sichuan, China",4.86,28.114,104.737,1.7,Wang et al. (2022),Dec-22
2017220101,Solomon Islands,22/01/2017,Solomon Islands,7.88,-6.2669,155.1189,136,Hayes (2017),Oct-19
2017180101,"Campotosto, Italy",18/01/2017,Central Italy,5.95,42.55,13.29,8.5,Cheloni et al. (2019),Jul-19
2016251201,Chile (Southern),25/12/2016,Southern Chile,7.61,-43.4167,-73.8972,30,Hayes (2017),Oct-19
2016171201,"New Ireland Region, P.N.G.",17/12/2016,"New Ireland Region, P.N.G.",7.88,-4.5091,153.4495,95,Hayes (2017),Oct-19
2016081201,Solomon Islands,8/12/2016,Solomon Islands,7.79,-10.6741,161.3351,41,Hayes (2017),Oct-19
2016131101,"South Island, New Zealand",13/11/2016,"South Island, New Zealand",7.89,-42.757,173.077,16,Hayes (2017),Oct-19
2016301001,Norcia,30/10/2016,Central Italy,6.5,42.84,13.08,9.5,Pizzi et al. (2017),Nov-17
2016261001,Ussita,26/10/2016,Central Italy,6.09,42.88,13.1,7.5,Pizzi et al. (2017),Nov-17
2016010901,"Off E. Coast Of N. Island, N.Z.",1/9/2016,"Off E. Coast Of N. Island, N.Z.",7.02,-37.401,179.055,19,Hayes (2017),Oct-19
2016290801,Ascension Island,29/08/2016,North Of Ascension Island,7.1,-0.0718,-17.8139,12,Hayes (2017),Oct-19
2016240801,Amatrice,24/08/2016,Central Italy,6.21,42.7063,13.2532,5,Pizzi et al. (2017),Nov-17
2016190801,South Georgia Island Region,19/08/2016,South Georgia Island Region,7.38,-55.3394,-31.9394,12,Hayes (2017),Oct-19
2016120801,Loyalty Islands (Southeast),12/8/2016,Southeast Of Loyalty Islands,7.24,-22.489,173.0954,16.1,Hayes (2017),Oct-19
2016290701,Mariana Islands,29/07/2016,Mariana Islands,7.7,18.5153,145.5293,212.4,Hayes (2017),Oct-19
2016280501,South Sandwich Islands Region,28/05/2016,South Sandwich Islands Region,7.15,-56.2571,-27.0364,78,Hayes (2017),Oct-19
2016280401,Vanuatu Islands,28/04/2016,Vanuatu Islands,6.98,-16.0941,167.3368,35,Hayes (2017),Oct-19
2016160401,Near Coast Of Ecuador,16/04/2016,Near Coast Of Ecuador,7.82,0.3482,-79.972,20,Hayes (2017),Oct-19
2016150401,"Kumamoto, Japan",15/04/2016,"Kyushu, Japan",7.04,32.7545,130.763,12.5,Asano and Iwata (2016),Sep-21
2016140401,"Kumamoto, Japan",14/04/2016,"Kyushu, Japan",6.14,32.7417,130.8087,11.4,Asano and Iwata (2016),Nov-17
2016140402,"Kumamoto,Japan",14/04/2016,"Kyushu, Japan",6.09,32.7004,130.7767,5.9,Kobayashi et al. (2017),Mar-20
2016020301,"Southwest Of Sumatra, Indonesia",2/3/2016,"Southwest Of Sumatra, Indonesia",7.77,-4.905,94.236,24,Hayes (2017),Oct-19
2016300101,"Kamchatka Peninsula, Russia",30/01/2016,"Kamchatka Peninsula, Russia",7.2,54.0377,158.5142,160,Hayes (2017),Oct-19
